County_State,n_zipcodes,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22,county_vaccine,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden,county_election,County,State,SVI_CTGY,Metro_status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,county_census,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122,county_checkpoint,socio_std,hh_std,minority_std,housing_std,overall_std,null_pct,uninsured_pct,socio_wgt,hh_wgt,minority_wgt,housing_wgt,overall_wgt,count,county_svi
addison_vt,19.0,0.117,0.013,0.105,addison_vt,VT,Joe Biden,DEM,445,425,870,0.489,0.511,addison_vt,Addison County,VT,1.0,0.0,36777.0,7598.0,23123.0,addison_vt,5027.0,13.7,1.0,0.0,24610.0,66.9,4.0,0.0,29076.0,79.1,4.0,62.6,addison_vt,0.1386831400471352,0.2604468350525475,0.1337384051048912,0.2345020966501863,0.1613229321716055,0.0,0.0426649340805111,0.324594932185495,0.4637560410406345,0.1439958796935488,0.4513814640353014,0.3008425187471236,10,addison_vt
aiken_sc,23.0,0.219,0.054,0.166,aiken_sc,SC,Donald Trump,REP,51589,33596,85185,0.606,0.394,aiken_sc,Aiken County,SC,3.0,1.0,170872.0,33992.0,100341.0,aiken_sc,22115.0,12.9,9.0,0.0,73932.0,43.3,10.0,0.0,94506.0,55.3,11.0,36.2,aiken_sc,0.2748688437970418,0.2072899142223433,0.1971373697972165,0.2771563288197451,0.2625613636417578,0.0303030303030303,0.1115823778201119,0.5909123785389934,0.6022707355355068,0.4490634676443454,0.5082652666451002,0.5622889885338413,32,aiken_sc
aitkin_mn,12.0,0.198,0.056,0.141,aitkin_mn,MN,Donald Trump,REP,6258,3767,10025,0.624,0.376,aitkin_mn,Aitkin County,MN,2.0,0.0,15886.0,5373.0,7895.0,aitkin_mn,3865.0,24.3,5.0,0.0,8792.0,55.3,8.0,0.0,9983.0,62.8,8.0,62.0,aitkin_mn,0.1428417959375569,0.220894983344273,0.0601480506749803,0.2910638326324085,0.2457369440411161,0.0,0.0426297840090943,0.5213555829228242,0.6555393772893774,0.105058936465833,0.534530516609827,0.4700997221169635,6,aitkin_mn
alachua_fl,22.0,0.201,0.052,0.15,alachua_fl,FL,Joe Biden,DEM,89704,52900,142604,0.371,0.629,alachua_fl,Alachua County,FL,2.0,1.0,269043.0,39272.0,181482.0,alachua_fl,51218.0,19.0,5.0,0.0,170153.0,63.2,8.0,0.0,201794.0,75.0,8.0,43.6,alachua_fl,0.2739105844659303,0.275553933910417,0.1627198934588906,0.2781879661658291,0.2225285294711027,0.0,0.0909830209615881,0.5046844319546415,0.3375658082143888,0.4889764125131104,0.5608679917764908,0.4572076109261708,56,alachua_fl
alamance_nc,12.0,0.182,0.042,0.14,alamance_nc,NC,Donald Trump,REP,46056,40035,86091,0.535,0.465,alamance_nc,Alamance County,NC,4.0,1.0,169509.0,29035.0,103110.0,alamance_nc,26650.0,15.7,13.0,0.0,91167.0,53.8,15.0,0.0,134994.0,79.6,16.0,22.6,alamance_nc,0.2427104377059804,0.2482542979854608,0.2493289890600655,0.24236353900635,0.2535947024508026,0.0,0.1181247508967716,0.5805004664457951,0.6278012891092069,0.5287973009665206,0.591574710417497,0.6022112812624552,36,alamance_nc
alameda_ca,53.0,0.047,0.013,0.034,alameda_ca,CA,Joe Biden,DEM,617659,152205,769864,0.198,0.802,alameda_ca,Alameda County,CA,2.0,1.0,1671329.0,238763.0,1092467.0,alameda_ca,305474.0,18.3,5.0,0.0,1263996.0,75.6,8.0,0.0,1499214.0,89.7,8.0,59.0,alameda_ca,0.2737879116330863,0.21150376741872,0.1608439001690869,0.2927893708937742,0.2746946045333786,0.0,0.0510500699641053,0.3676572901989414,0.2555464739916043,0.8015676097219687,0.6009420513475695,0.4867090278031271,360,alameda_ca
alamosa_co,5.0,0.155,0.035,0.121,alamosa_co,CO,Donald Trump,REP,3813,3995,7808,0.488,0.512,alamosa_co,Alamosa County,CO,4.0,0.0,16233.0,2254.0,10054.0,alamosa_co,59.0,0.4,13.0,0.0,8194.0,50.5,15.0,0.0,10116.0,62.3,16.0,47.1,alamosa_co,0.1846430136777452,0.321412853663322,0.0748557000724282,0.2850322554846498,0.1275439891436153,0.0,0.1360374604719046,0.7463862442228169,0.5486068474823643,0.7363286061785453,0.824201605448796,0.8221088178058866,4,alamosa_co
albany_ny,45.0,0.14,0.032,0.108,albany_ny,NY,Joe Biden,DEM,99474,54112,153586,0.352,0.648,albany_ny,Albany County,NY,2.0,1.0,305506.0,53272.0,196469.0,albany_ny,49495.0,16.2,5.0,0.0,206622.0,67.6,8.0,0.0,249631.0,81.7,8.0,56.5,albany_ny,0.2838801124761287,0.2743419957670379,0.2122547903469441,0.2683550659410331,0.2752409522156478,0.0,0.039050047816385,0.3406586843663191,0.3273547240636771,0.4545293325873543,0.4809429843279358,0.3588311648982194,75,albany_ny
albany_wy,13.0,0.249,0.044,0.205,albany_wy,WY,Joe Biden,DEM,9092,9525,18617,0.512,0.488,albany_wy,Albany County,WY,1.0,0.0,38880.0,4752.0,27875.0,albany_wy,4839.0,12.4,1.0,0.0,19657.0,50.6,3.0,0.0,24105.0,62.0,4.0,47.1,albany_wy,0.2337463259366634,0.1852024909839678,0.1610703879950902,0.2282370816594982,0.1888796018631975,0.0,0.0738543908456249,0.4450231982573093,0.1154077712456039,0.3058017925568211,0.5975273555193954,0.321735502073382,10,albany_wy
albemarle_va,24.0,0.067,0.02,0.047,albemarle_va,VA,Joe Biden,DEM,42466,22191,64657,0.343,0.657,albemarle_va,Albemarle County,VA,1.0,1.0,109330.0,21155.0,66622.0,albemarle_va,7956.0,7.3,1.0,0.0,28216.0,25.8,1.0,0.0,80777.0,73.9,4.0,27.3,albemarle_va,0.2480062521904258,0.2717749237864564,0.2073212345267948,0.3297434551795778,0.242619754203713,0.0,0.0721357717079591,0.2989290621033332,0.3396015946593954,0.4352038174039772,0.4684310544873302,0.3362632269286822,22,albemarle_va
alcona_mi,13.0,0.23,0.05,0.18,alcona_mi,MI,Donald Trump,REP,4848,2216,7064,0.686,0.314,alcona_mi,Alcona County,MI,2.0,0.0,10405.0,3761.0,5331.0,alcona_mi,2275.0,21.9,5.0,0.0,5252.0,50.5,7.0,0.0,6186.0,59.5,8.0,55.6,alcona_mi,0.1292695903915534,0.1418572768665746,0.0705176715440888,0.2311387527006235,0.1705848381304739,0.0,0.0574102663064453,0.6809178598996526,0.6155243245851023,0.0891155441914318,0.4971115688923196,0.5047706773446546,5,alcona_mi
alcorn_ms,5.0,0.389,0.137,0.252,alcorn_ms,MS,Donald Trump,REP,12818,2995,15813,0.811,0.189,alcorn_ms,Alcorn County,MS,3.0,0.0,36953.0,6965.0,21679.0,alcorn_ms,4625.0,12.5,9.0,0.0,13142.0,35.6,9.0,0.0,16431.0,44.5,10.0,38.9,alcorn_ms,0.1180344259709247,0.1302596436426292,0.2495475896974553,0.2439523294572508,0.1830442725525322,0.0,0.150887573964497,0.7494431226465842,0.801017533620226,0.2766074206562668,0.500451629908553,0.6406539564281872,7,alcorn_ms
alexander_il,8.0,0.212,0.059,0.153,alexander_il,IL,Donald Trump,REP,1486,1132,2618,0.568,0.432,alexander_il,Alexander County,IL,4.0,1.0,5761.0,1332.0,3149.0,alexander_il,549.0,9.5,13.0,0.0,1746.0,30.3,13.0,0.0,2238.0,38.8,14.0,38.7,alexander_il,0.1069301017799322,0.1762851170689119,0.1472247799568175,0.1932357627355764,0.1324590754409325,0.0,0.0672075933864053,0.8010137170851194,0.8492645744029393,0.270916595223515,0.615435104102878,0.7420949173300674,4,alexander_il
alexander_nc,8.0,0.268,0.085,0.183,alexander_nc,NC,Donald Trump,REP,15888,4348,20236,0.785,0.215,alexander_nc,Alexander County,NC,3.0,1.0,37497.0,7667.0,22373.0,alexander_nc,5329.0,14.2,9.0,0.0,15508.0,41.4,10.0,0.0,21353.0,56.9,11.0,34.6,alexander_nc,0.125920059675063,0.2796747600849448,0.2142024120623606,0.2662303692740734,0.2209761439397388,0.0,0.1042323338452005,0.6901307201163824,0.6371917912659285,0.3014408496996147,0.4978885476440636,0.5773833885611143,7,alexander_nc
alexandria city_va,8.0,0.04,0.016,0.024,alexandria city_va,VA,Joe Biden,DEM,66240,16268,82508,0.197,0.803,alexandria city_va,Alexandria city,VA,1.0,1.0,159428.0,19395.0,111341.0,alexandria city_va,10942.0,6.9,1.0,0.0,51246.0,32.1,1.0,0.0,123247.0,77.3,4.0,29.3,alexandria city_va,0.2112005786374299,0.1452200188794817,0.2565876263440769,0.2443811729564909,0.2446071841643412,0.0,0.1213507555669148,0.2495101083032491,0.1356575099837066,0.6579852285869461,0.546816094054503,0.3307075205265007,38,alexandria city_va
alfalfa_ok,10.0,0.345,0.083,0.262,alfalfa_ok,OK,Donald Trump,REP,1978,284,2262,0.874,0.126,alfalfa_ok,Alfalfa County,OK,2.0,0.0,5702.0,1155.0,3442.0,alfalfa_ok,809.0,14.2,5.0,0.0,2429.0,42.6,6.0,0.0,2872.0,50.4,7.0,47.3,alfalfa_ok,0.1409240575629299,0.2163292012959261,0.2082260310335861,0.0304342460615231,0.1497998776145472,0.0,0.0882704456206248,0.4275957657503841,0.670040703431791,0.3722505378179955,0.5723205224517671,0.508250367082124,3,alfalfa_ok
alger_mi,14.0,0.178,0.034,0.145,alger_mi,MI,Donald Trump,REP,3014,2114,5128,0.588,0.412,alger_mi,Alger County,MI,2.0,0.0,9108.0,2393.0,5353.0,alger_mi,2644.0,29.0,5.0,0.0,5362.0,58.9,8.0,0.0,6036.0,66.3,8.0,55.7,alger_mi,0.1311421112127349,0.1561640590319467,0.1065115486696161,0.0646814759674926,0.0453918862059436,0.0,0.0644985860343702,0.5901218620839679,0.4922867739830324,0.261016336741353,0.7201381988253208,0.5679495975636284,3,alger_mi
allamakee_ia,10.0,0.231,0.049,0.182,allamakee_ia,IA,Donald Trump,REP,4735,2687,7422,0.638,0.362,allamakee_ia,Allamakee County,IA,2.0,0.0,13687.0,3212.0,7264.0,allamakee_ia,2692.0,19.7,5.0,0.0,6678.0,48.8,7.0,0.0,8057.0,58.9,8.0,51.2,allamakee_ia,0.1036661854222484,0.2191456935465536,0.2978839287373523,0.1877138327348307,0.1622182264728597,0.0,0.0735590778097982,0.3959862752161383,0.4459485518731989,0.224670144092219,0.720326181556196,0.4458654466858789,5,allamakee_ia
allegan_mi,25.0,0.203,0.043,0.161,allegan_mi,MI,Donald Trump,REP,41392,25702,67094,0.617,0.383,allegan_mi,Allegan County,MI,1.0,0.0,118081.0,20099.0,69884.0,allegan_mi,14784.0,12.5,1.0,0.0,51036.0,43.2,3.0,0.0,62019.0,52.5,4.0,54.4,allegan_mi,0.1937173388553239,0.2299477595051738,0.2246368324732682,0.2693150878093151,0.2428080182984079,0.0,0.0452494577006507,0.384792464208243,0.4443537752711496,0.2065816355748373,0.5214783722342733,0.3737216173535791,24,allegan_mi
allegany_md,15.0,0.252,0.047,0.205,allegany_md,MD,Donald Trump,REP,20886,9755,30641,0.682,0.318,allegany_md,Allegany County,MD,3.0,1.0,70416.0,14471.0,43790.0,allegany_md,10736.0,15.2,9.0,0.0,35352.0,50.2,11.0,0.0,43552.0,61.8,12.0,49.1,allegany_md,0.2029094227333765,0.2751120182201605,0.160032753194031,0.226317334836355,0.1930889732248521,0.0,0.0440418467010294,0.6221371993831363,0.6068915097878489,0.1850646706586826,0.5840896939300054,0.5433356488878391,23,allegany_md
allegany_ny,35.0,0.203,0.061,0.142,allegany_ny,NY,Donald Trump,REP,14135,6581,20716,0.682,0.318,allegany_ny,Allegany County,NY,3.0,0.0,46091.0,9055.0,27762.0,allegany_ny,4111.0,8.9,9.0,0.0,17456.0,37.9,10.0,0.0,21870.0,47.4,11.0,49.6,allegany_ny,0.0886917760356823,0.2931890809647755,0.112480523229849,0.2091935270089021,0.1009424663615443,0.0769230769230769,0.0685409267805116,0.6206043383025328,0.669298549645918,0.1539521213023414,0.6632752823086575,0.5707546285860111,12,allegany_ny
alleghany_nc,7.0,0.124,0.044,0.08,alleghany_nc,NC,Donald Trump,REP,4527,1549,6076,0.745,0.255,alleghany_nc,Alleghany County,NC,3.0,0.0,11137.0,3116.0,6133.0,alleghany_nc,2466.0,22.1,9.0,0.0,6383.0,57.3,11.0,0.0,8933.0,80.2,12.0,27.9,alleghany_nc,0.0561876617535676,0.2264303204078463,0.0912669892860136,0.273021360580694,0.1919917793379011,0.0,0.1103617971384307,0.7883305477080106,0.7608493939670099,0.3578935842522555,0.5407369361159209,0.7020718490841155,3,alleghany_nc
alleghany_va,7.0,0.202,0.047,0.155,alleghany_va,VA,Donald Trump,REP,5859,2344,8203,0.714,0.286,alleghany_va,Alleghany County,VA,2.0,0.0,14860.0,3785.0,8361.0,alleghany_va,221.0,1.5,5.0,0.0,784.0,5.3,5.0,0.0,7095.0,47.7,6.0,6.2,alleghany_va,0.2185768644359843,0.2036008881774995,0.1018624693725155,0.2485396279603449,0.239693059279293,0.0,0.0690828208818526,0.6002796480439618,0.6828854114876357,0.1078835404945701,0.5858509682062017,0.5197496009420385,6,alleghany_va
allegheny_pa,114.0,0.145,0.046,0.098,allegheny_pa,PA,Joe Biden,DEM,430759,294041,724800,0.406,0.594,allegheny_pa,Allegheny County,PA,2.0,1.0,1216045.0,235279.0,754193.0,allegheny_pa,192463.0,15.8,5.0,0.0,852127.0,70.1,8.0,0.0,973495.0,80.1,8.0,47.4,allegheny_pa,0.2805149867503982,0.3123044451525879,0.2023331417014256,0.2643363057190436,0.2717094468514818,0.0298507462686567,0.0428418984991894,0.3379892884223187,0.4258562678940281,0.2954807550953041,0.4052069365914083,0.3206353652996391,390,allegheny_pa
allen_in,32.0,0.242,0.05,0.192,allen_in,IN,Donald Trump,REP,92083,76999,169082,0.545,0.455,allen_in,Allen County,IN,3.0,1.0,379299.0,56584.0,225761.0,allen_in,52001.0,13.7,9.0,0.0,184173.0,48.6,11.0,0.0,218399.0,57.6,12.0,43.6,allen_in,0.3070419317709252,0.2887746303374653,0.2691990069766655,0.2906577401137253,0.3124922121851548,0.0104166666666666,0.0933353873929389,0.465050931489004,0.5593080489406728,0.3965157473398576,0.3532984999959459,0.4213118821942762,95,allen_in
allen_ks,10.0,0.36,0.13,0.23,allen_ks,KS,Donald Trump,REP,4155,1687,5842,0.711,0.289,allen_ks,Allen County,KS,2.0,0.0,12369.0,2594.0,7034.0,allen_ks,1691.0,13.7,5.0,0.0,5091.0,41.2,6.0,0.0,6420.0,51.9,7.0,48.2,allen_ks,0.1519586226576169,0.1223633319258674,0.0298667540921339,0.2601755407412465,0.1591440448147526,0.0,0.0570071258907363,0.541085740300871,0.8052194061757719,0.0815825732383214,0.6141317498020585,0.5276116547901821,5,allen_ks
