county_state,n_zipcodes,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22
colonial heights city_va,1.0,0.137,0.043,0.094
colorado_tx,17.0,0.217,0.063,0.153
colquitt_ga,12.0,0.287,0.078,0.209
columbia_ar,7.0,0.203,0.086,0.118
columbia_fl,8.0,0.297,0.082,0.216
columbia_ga,7.0,0.168,0.069,0.1
columbia_ny,36.0,0.125,0.048,0.077
columbia_or,9.0,0.17,0.029,0.141
columbia_pa,19.0,0.208,0.06,0.148
columbia_wa,5.0,0.183,0.042,0.14
columbia_wi,20.0,0.22,0.038,0.182
columbiana_oh,24.0,0.281,0.076,0.205
columbus_nc,16.0,0.221,0.114,0.107
colusa_ca,8.0,0.293,0.081,0.212
comal_tx,12.0,0.202,0.046,0.156
comanche_ks,3.0,0.236,0.033,0.203
comanche_ok,20.0,0.301,0.08,0.221
comanche_tx,13.0,0.323,0.078,0.246
concho_tx,5.0,0.241,0.086,0.155
concordia parish_la,7.0,0.326,0.099,0.226
conecuh_al,13.0,0.294,0.088,0.206
conejos_co,8.0,0.232,0.075,0.157
contra costa_ca,50.0,0.062,0.02,0.042
converse_wy,4.0,0.372,0.076,0.296
conway_ar,15.0,0.218,0.064,0.154
cook_ga,5.0,0.428,0.155,0.272
cook_il,174.0,0.108,0.029,0.079
cook_mn,6.0,0.095,0.022,0.073
cooke_tx,14.0,0.294,0.067,0.227
cooper_mo,12.0,0.304,0.098,0.206
coos_nh,15.0,0.242,0.041,0.202
coos_or,9.0,0.251,0.049,0.201
coosa_al,11.0,0.27,0.1,0.17
copiah_ms,8.0,0.231,0.11,0.121
copper river census area_ak,7.0,0.285,0.051,0.234
corson_sd,14.0,0.229,0.083,0.146
cortland_ny,16.0,0.149,0.031,0.118
coryell_tx,17.0,0.253,0.073,0.181
coshocton_oh,17.0,0.32,0.094,0.226
costilla_co,6.0,0.247,0.092,0.155
cottle_tx,3.0,0.226,0.059,0.166
cotton_ok,9.0,0.277,0.084,0.194
cottonwood_mn,13.0,0.238,0.074,0.164
covington_al,12.0,0.322,0.156,0.166
covington_ms,8.0,0.284,0.09,0.194
covington city_va,1.0,0.223,0.038,0.186
coweta_ga,10.0,0.282,0.085,0.197
cowley_ks,14.0,0.184,0.067,0.117
cowlitz_wa,11.0,0.224,0.057,0.167
craig_ok,9.0,0.442,0.106,0.336
craig_va,4.0,0.324,0.095,0.229
craighead_ar,14.0,0.167,0.066,0.101
crane_tx,3.0,0.457,0.149,0.309
craven_nc,11.0,0.251,0.061,0.19
crawford_ar,11.0,0.247,0.106,0.141
crawford_ga,7.0,0.268,0.109,0.159
crawford_ia,17.0,0.415,0.128,0.288
crawford_il,10.0,0.275,0.06,0.215
crawford_in,8.0,0.166,0.055,0.111
crawford_ks,15.0,0.192,0.056,0.137
crawford_mi,4.0,0.221,0.057,0.164
crawford_mo,12.0,0.297,0.088,0.209
crawford_oh,15.0,0.289,0.096,0.193
crawford_pa,27.0,0.198,0.055,0.142
crawford_wi,12.0,0.263,0.054,0.209
creek_ok,20.0,0.337,0.093,0.244
crenshaw_al,11.0,0.242,0.101,0.141
crisp_ga,4.0,0.16,0.056,0.104
crittenden_ar,11.0,0.242,0.082,0.16
crittenden_ky,7.0,0.315,0.099,0.215
crockett_tn,8.0,0.199,0.079,0.121
crockett_tx,5.0,0.317,0.094,0.223
crook_or,7.0,0.255,0.094,0.161
crook_wy,9.0,0.384,0.067,0.316
crosby_tx,7.0,0.398,0.111,0.288
cross_ar,7.0,0.28,0.094,0.186
crow wing_mn,19.0,0.253,0.038,0.215
crowley_co,6.0,0.205,0.036,0.17
culberson_tx,4.0,0.328,0.123,0.204
cullman_al,19.0,0.303,0.085,0.218
culpeper_va,16.0,0.208,0.034,0.174
cumberland_il,11.0,0.337,0.074,0.263
cumberland_ky,4.0,0.407,0.121,0.287
cumberland_me,38.0,0.102,0.034,0.068
cumberland_nc,23.0,0.203,0.09,0.112
cumberland_nj,21.0,0.188,0.083,0.105
cumberland_pa,22.0,0.233,0.063,0.171
cumberland_tn,11.0,0.319,0.083,0.236
cumberland_va,7.0,0.169,0.049,0.12
cuming_ne,8.0,0.302,0.056,0.246
currituck_nc,15.0,0.265,0.049,0.215
curry_nm,6.0,0.306,0.204,0.102
curry_or,6.0,0.159,0.044,0.115
custer_co,3.0,0.303,0.034,0.269
custer_id,7.0,0.473,0.047,0.427
custer_mt,6.0,0.313,0.081,0.232
custer_ne,16.0,0.45,0.061,0.388
custer_ok,13.0,0.311,0.095,0.215
custer_sd,9.0,0.287,0.053,0.234
cuyahoga_oh,52.0,0.135,0.042,0.093
dade_ga,5.0,0.328,0.104,0.224
dade_mo,13.0,0.285,0.067,0.218
daggett_ut,3.0,0.282,0.099,0.183
dakota_mn,22.0,0.143,0.028,0.115
dakota_ne,8.0,0.242,0.073,0.169
dale_al,14.0,0.31,0.115,0.196
dallam_tx,3.0,0.307,0.055,0.253
dallas_al,10.0,0.306,0.124,0.182
dallas_ar,6.0,0.254,0.085,0.169
dallas_ia,25.0,0.117,0.032,0.085
dallas_mo,13.0,0.344,0.082,0.262
dallas_tx,94.0,0.14,0.064,0.076
dane_wi,45.0,0.089,0.017,0.072
daniels_mt,5.0,0.493,0.084,0.409
danville city_va,2.0,0.162,0.061,0.1
dare_nc,14.0,0.168,0.035,0.133
darke_oh,23.0,0.335,0.072,0.263
darlington_sc,10.0,0.261,0.099,0.162
dauphin_pa,30.0,0.184,0.045,0.139
davidson_nc,12.0,0.224,0.066,0.158
davidson_tn,38.0,0.145,0.06,0.085
davie_nc,5.0,0.31,0.115,0.196
daviess_in,7.0,0.319,0.078,0.241
daviess_ky,10.0,0.235,0.102,0.132
daviess_mo,15.0,0.289,0.068,0.221
davis_ia,9.0,0.315,0.062,0.253
davis_ut,13.0,0.135,0.035,0.099
davison_sd,5.0,0.175,0.042,0.132
dawes_ne,6.0,0.274,0.062,0.212
dawson_ga,5.0,0.301,0.073,0.228
dawson_mt,7.0,0.324,0.069,0.255
dawson_ne,11.0,0.352,0.074,0.279
dawson_tx,4.0,0.316,0.099,0.217
day_sd,10.0,0.264,0.058,0.206
de baca_nm,3.0,0.347,0.073,0.273
de soto parish_la,9.0,0.365,0.14,0.224
de witt_il,13.0,0.274,0.047,0.226
dekalb_al,21.0,0.351,0.173,0.178
dekalb_ga,36.0,0.096,0.043,0.052
dekalb_il,22.0,0.178,0.049,0.129
dekalb_in,14.0,0.332,0.093,0.239
dekalb_mo,10.0,0.303,0.056,0.247
dekalb_tn,10.0,0.286,0.103,0.184
desoto_fl,3.0,0.161,0.101,0.059
desoto_ms,10.0,0.186,0.051,0.135
dewitt_tx,7.0,0.321,0.106,0.216
deaf smith_tx,6.0,0.278,0.138,0.14
dearborn_in,9.0,0.363,0.05,0.312
decatur_ga,8.0,0.27,0.084,0.186
decatur_ia,11.0,0.332,0.075,0.258
decatur_in,8.0,0.278,0.114,0.164
decatur_ks,7.0,0.296,0.056,0.24
decatur_tn,6.0,0.333,0.067,0.266
deer lodge_mt,4.0,0.228,0.045,0.183
defiance_oh,14.0,0.304,0.092,0.212
del norte_ca,4.0,0.363,0.072,0.292
delaware_ia,16.0,0.238,0.065,0.173
delaware_in,20.0,0.251,0.085,0.166
delaware_ny,47.0,0.196,0.039,0.157
delaware_oh,20.0,0.168,0.039,0.13
delaware_ok,13.0,0.302,0.099,0.203
delaware_pa,43.0,0.127,0.046,0.081
delta_co,8.0,0.205,0.039,0.166
delta_mi,13.0,0.233,0.06,0.174
delta_tx,7.0,0.251,0.061,0.19
denali borough_ak,6.0,0.13,0.034,0.096
dent_mo,8.0,0.349,0.098,0.251
denton_tx,37.0,0.184,0.063,0.122
denver_co,41.0,0.084,0.024,0.06
des moines_ia,12.0,0.329,0.098,0.231
deschutes_or,8.0,0.167,0.051,0.116
desha_ar,11.0,0.216,0.081,0.136
deuel_ne,2.0,0.308,0.053,0.255
deuel_sd,10.0,0.228,0.049,0.18
dewey_ok,10.0,0.428,0.105,0.323
dewey_sd,10.0,0.193,0.056,0.137
dickens_tx,4.0,0.352,0.135,0.217
dickenson_va,11.0,0.263,0.099,0.164
dickey_nd,8.0,0.316,0.07,0.246
dickinson_ia,10.0,0.232,0.095,0.137
dickinson_ks,12.0,0.25,0.08,0.171
dickinson_mi,13.0,0.187,0.051,0.136
dickson_tn,10.0,0.256,0.084,0.172
dillingham census area_ak,7.0,0.188,0.043,0.145
dillon_sc,9.0,0.242,0.081,0.161
dimmit_tx,6.0,0.191,0.08,0.112
dinwiddie_va,12.0,0.184,0.069,0.115
district of columbia_dc,53.0,0.057,0.017,0.04
divide_nd,10.0,0.37,0.086,0.284
dixie_fl,6.0,0.419,0.172,0.247
dixon_ne,10.0,0.268,0.057,0.211
doddridge_wv,8.0,0.267,0.089,0.178
dodge_ga,7.0,0.226,0.096,0.131
dodge_mn,8.0,0.188,0.043,0.145
dodge_ne,10.0,0.217,0.054,0.163
dodge_wi,29.0,0.274,0.075,0.199
dolores_co,5.0,0.268,0.049,0.219
doniphan_ks,10.0,0.329,0.077,0.252
donley_tx,6.0,0.283,0.09,0.193
dooly_ga,6.0,0.128,0.053,0.074
door_wi,13.0,0.153,0.032,0.121
dorchester_md,17.0,0.149,0.053,0.096
dorchester_sc,15.0,0.159,0.041,0.118
dougherty_ga,6.0,0.176,0.066,0.11
douglas_co,19.0,0.09,0.021,0.069
douglas_ga,8.0,0.2,0.062,0.138
douglas_il,13.0,0.176,0.055,0.12
douglas_ks,12.0,0.143,0.027,0.116
douglas_mn,16.0,0.266,0.069,0.198
douglas_mo,15.0,0.388,0.083,0.305
douglas_ne,35.0,0.12,0.04,0.08
douglas_nv,9.0,0.198,0.045,0.152
douglas_or,29.0,0.232,0.041,0.191
douglas_sd,8.0,0.155,0.049,0.106
douglas_wa,14.0,0.224,0.054,0.17
douglas_wi,12.0,0.255,0.107,0.148
do�a ana_nm,26.0,0.099,0.029,0.07
drew_ar,8.0,0.253,0.096,0.157
dupage_il,43.0,0.106,0.032,0.073
dubois_in,12.0,0.239,0.044,0.195
dubuque_ia,19.0,0.179,0.049,0.13
duchesne_ut,13.0,0.356,0.097,0.259
dukes_ma,7.0,0.066,0.019,0.047
dundy_ne,6.0,0.275,0.052,0.223
dunklin_mo,13.0,0.342,0.067,0.275
dunn_nd,12.0,0.382,0.062,0.32
dunn_wi,22.0,0.341,0.078,0.262
duplin_nc,19.0,0.204,0.064,0.14
durham_nc,15.0,0.078,0.03,0.048
dutchess_ny,34.0,0.155,0.042,0.113
duval_fl,35.0,0.213,0.072,0.141
duval_tx,7.0,0.162,0.067,0.095
dyer_tn,11.0,0.318,0.096,0.222
eagle_co,13.0,0.073,0.021,0.052
early_ga,7.0,0.194,0.075,0.119
east baton rouge parish_la,26.0,0.208,0.069,0.138
east carroll parish_la,4.0,0.211,0.088,0.123
east feliciana parish_la,7.0,0.256,0.078,0.178
eastland_tx,9.0,0.342,0.08,0.262
eaton_mi,17.0,0.252,0.073,0.178
eau claire_wi,15.0,0.203,0.057,0.146
echols_ga,4.0,0.301,0.104,0.197
ector_tx,9.0,0.321,0.088,0.233
eddy_nd,7.0,0.319,0.064,0.255
eddy_nm,9.0,0.426,0.203,0.223
edgar_il,15.0,0.223,0.071,0.153
edgecombe_nc,15.0,0.216,0.071,0.145
edgefield_sc,10.0,0.232,0.069,0.163
edmonson_ky,12.0,0.292,0.104,0.187
edmunds_sd,10.0,0.287,0.05,0.237
edwards_il,6.0,0.224,0.053,0.171
edwards_ks,6.0,0.228,0.057,0.171
edwards_tx,4.0,0.255,0.075,0.181
effingham_ga,8.0,0.228,0.096,0.132
effingham_il,13.0,0.403,0.106,0.297
el dorado_ca,23.0,0.181,0.043,0.138
el paso_co,45.0,0.21,0.057,0.153
el paso_tx,31.0,0.084,0.038,0.046
elbert_co,14.0,0.221,0.042,0.179
elbert_ga,4.0,0.362,0.112,0.25
elk_ks,10.0,0.419,0.078,0.341
elk_pa,15.0,0.278,0.131,0.147
elkhart_in,16.0,0.244,0.063,0.181
elko_nv,15.0,0.228,0.054,0.174
elliott_ky,6.0,0.283,0.087,0.196
ellis_ks,10.0,0.26,0.071,0.189
ellis_ok,8.0,0.402,0.086,0.316
ellis_tx,17.0,0.221,0.076,0.146
ellsworth_ks,9.0,0.279,0.08,0.199
elmore_al,13.0,0.304,0.107,0.196
elmore_id,9.0,0.315,0.057,0.258
emanuel_ga,12.0,0.274,0.106,0.168
emery_ut,9.0,0.348,0.073,0.276
emmet_ia,7.0,0.257,0.093,0.163
emmet_mi,11.0,0.203,0.053,0.15
emmons_nd,7.0,0.275,0.042,0.233
emporia city_va,1.0,0.221,0.071,0.151
erath_tx,10.0,0.352,0.068,0.284
erie_ny,70.0,0.134,0.036,0.098
erie_oh,14.0,0.252,0.054,0.198
erie_pa,32.0,0.211,0.062,0.149
escambia_al,8.0,0.346,0.111,0.235
escambia_fl,18.0,0.258,0.069,0.189
esmeralda_nv,4.0,0.264,0.066,0.198
essex_ma,43.0,0.081,0.031,0.05
essex_nj,32.0,0.099,0.045,0.055
essex_ny,36.0,0.157,0.05,0.107
essex_va,10.0,0.11,0.035,0.075
essex_vt,11.0,0.167,0.019,0.149
estill_ky,2.0,0.198,0.071,0.127
etowah_al,13.0,0.296,0.114,0.182
eureka_nv,4.0,0.459,0.201,0.259
evangeline parish_la,11.0,0.423,0.12,0.303
evans_ga,4.0,0.236,0.102,0.134
fairbanks north star borough_ak,9.0,0.196,0.041,0.154
fairfax_va,49.0,0.045,0.011,0.034
fairfax city_va,3.0,0.045,0.013,0.032
fairfield_ct,48.0,0.092,0.026,0.065
fairfield_oh,18.0,0.274,0.084,0.19
fairfield_sc,8.0,0.308,0.108,0.2
fall river_sd,6.0,0.22,0.052,0.168
fallon_mt,4.0,0.334,0.059,0.275
falls church city_va,4.0,0.038,0.012,0.026
falls_tx,17.0,0.254,0.071,0.183
fannin_ga,8.0,0.327,0.087,0.24
fannin_tx,19.0,0.297,0.076,0.221
faribault_mn,11.0,0.169,0.047,0.122
faulk_sd,10.0,0.243,0.043,0.201
faulkner_ar,15.0,0.221,0.04,0.181
fauquier_va,23.0,0.11,0.024,0.086
fayette_al,10.0,0.272,0.089,0.183
fayette_ga,7.0,0.181,0.062,0.119
fayette_ia,24.0,0.228,0.063,0.165
fayette_il,19.0,0.438,0.106,0.332
fayette_in,5.0,0.246,0.075,0.171
fayette_ky,16.0,0.14,0.055,0.085
fayette_oh,11.0,0.29,0.082,0.208
fayette_pa,62.0,0.294,0.08,0.214
fayette_tn,14.0,0.209,0.066,0.143
fayette_tx,14.0,0.195,0.067,0.128
fayette_wv,43.0,0.326,0.135,0.191
fentress_tn,9.0,0.334,0.081,0.252
fergus_mt,11.0,0.232,0.059,0.173
ferry_wa,10.0,0.24,0.038,0.203
fillmore_mn,16.0,0.173,0.036,0.137
fillmore_ne,11.0,0.287,0.061,0.226
finney_ks,7.0,0.313,0.063,0.25
fisher_tx,9.0,0.321,0.085,0.236
flagler_fl,6.0,0.21,0.048,0.162
flathead_mt,16.0,0.261,0.062,0.199
fleming_ky,5.0,0.258,0.08,0.178
florence_sc,12.0,0.246,0.063,0.183
florence_wi,4.0,0.28,0.063,0.217
floyd_ga,13.0,0.292,0.099,0.193
floyd_ia,13.0,0.217,0.06,0.157
floyd_in,9.0,0.202,0.058,0.144
floyd_ky,34.0,0.152,0.066,0.086
floyd_tx,6.0,0.498,0.145,0.353
floyd_va,11.0,0.173,0.045,0.128
fluvanna_va,9.0,0.069,0.025,0.044
foard_tx,2.0,0.136,0.05,0.086
fond du lac_wi,23.0,0.255,0.08,0.175
ford_il,18.0,0.245,0.051,0.195
ford_ks,10.0,0.218,0.064,0.154
forest_pa,10.0,0.33,0.066,0.265
forest_wi,11.0,0.292,0.06,0.232
forrest_ms,8.0,0.268,0.11,0.158
forsyth_ga,10.0,0.195,0.059,0.137
forsyth_nc,22.0,0.174,0.06,0.115
fort bend_tx,32.0,0.134,0.038,0.096
foster_nd,7.0,0.299,0.057,0.242
fountain_in,7.0,0.334,0.068,0.266
franklin_al,9.0,0.292,0.116,0.176
franklin_ar,9.0,0.281,0.079,0.202
franklin_fl,7.0,0.213,0.065,0.148
franklin_ga,9.0,0.301,0.103,0.198
franklin_ia,17.0,0.181,0.053,0.129
franklin_id,7.0,0.409,0.078,0.33
franklin_il,17.0,0.247,0.066,0.182
franklin_in,14.0,0.335,0.075,0.26
franklin_ks,12.0,0.262,0.047,0.215
franklin_ky,6.0,0.146,0.045,0.101
franklin_ma,30.0,0.086,0.025,0.061
franklin_me,18.0,0.177,0.047,0.13
franklin_mo,22.0,0.254,0.065,0.189
franklin_ms,7.0,0.283,0.114,0.169
franklin_nc,11.0,0.147,0.057,0.09
franklin_ne,8.0,0.31,0.058,0.252
franklin_ny,24.0,0.164,0.03,0.134
franklin_oh,49.0,0.151,0.05,0.101
franklin_pa,33.0,0.255,0.091,0.164
franklin_tn,11.0,0.327,0.122,0.205
franklin_tx,7.0,0.261,0.08,0.181
franklin_va,16.0,0.292,0.054,0.238
franklin_vt,18.0,0.087,0.016,0.071
franklin_wa,8.0,0.181,0.073,0.108
franklin parish_la,6.0,0.431,0.163,0.268
franklin city_va,1.0,0.18,0.059,0.121
frederick_md,35.0,0.096,0.027,0.069
frederick_va,12.0,0.175,0.035,0.139
fredericksburg city_va,1.0,0.081,0.039,0.042
freeborn_mn,18.0,0.198,0.062,0.137
freestone_tx,9.0,0.344,0.106,0.238
fremont_co,12.0,0.25,0.037,0.214
fremont_ia,10.0,0.247,0.056,0.192
fremont_id,9.0,0.222,0.053,0.169
fremont_wy,12.0,0.403,0.153,0.25
fresno_ca,58.0,0.149,0.042,0.107
frio_tx,5.0,0.259,0.053,0.206
frontier_ne,9.0,0.226,0.054,0.171
fulton_ar,13.0,0.269,0.069,0.2
fulton_ga,46.0,0.129,0.058,0.071
fulton_il,23.0,0.258,0.085,0.173
fulton_in,11.0,0.273,0.067,0.207
fulton_ky,3.0,0.32,0.11,0.211
fulton_ny,14.0,0.244,0.074,0.17
fulton_oh,11.0,0.325,0.079,0.246
fulton_pa,17.0,0.392,0.114,0.279
furnas_ne,9.0,0.322,0.057,0.266
gadsden_fl,7.0,0.132,0.033,0.098
gage_ne,16.0,0.171,0.036,0.135
gaines_tx,5.0,0.287,0.066,0.222
galax city_va,1.0,0.235,0.068,0.167
gallatin_il,9.0,0.176,0.05,0.126
gallatin_ky,6.0,0.216,0.07,0.146
gallatin_mt,10.0,0.202,0.04,0.162
gallia_oh,11.0,0.242,0.076,0.166
galveston_tx,18.0,0.178,0.04,0.138
garden_ne,6.0,0.265,0.083,0.181
garfield_co,8.0,0.2,0.038,0.162
garfield_mt,7.0,0.463,0.07,0.393
garfield_ne,1.0,0.243,0.07,0.173
garfield_ok,22.0,0.342,0.153,0.189
garfield_ut,12.0,0.218,0.052,0.166
garfield_wa,2.0,0.175,0.045,0.129
garland_ar,9.0,0.216,0.059,0.156
garrard_ky,5.0,0.256,0.089,0.167
garrett_md,13.0,0.241,0.048,0.193
garvin_ok,12.0,0.325,0.107,0.219
garza_tx,3.0,0.374,0.071,0.302
gasconade_mo,11.0,0.32,0.097,0.223
gaston_nc,17.0,0.293,0.083,0.211
gates_nc,6.0,0.3,0.069,0.231
geary_ks,8.0,0.196,0.062,0.134
geauga_oh,19.0,0.212,0.065,0.147
gem_id,7.0,0.318,0.062,0.256
genesee_mi,36.0,0.262,0.079,0.183
genesee_ny,18.0,0.135,0.032,0.103
geneva_al,14.0,0.301,0.137,0.164
gentry_mo,11.0,0.282,0.061,0.221
george_ms,2.0,0.406,0.101,0.305
georgetown_sc,5.0,0.228,0.08,0.147
gibson_in,16.0,0.263,0.082,0.182
gibson_tn,11.0,0.303,0.109,0.194
gila_az,12.0,0.196,0.091,0.105
gilchrist_fl,5.0,0.263,0.064,0.199
giles_tn,17.0,0.336,0.158,0.177
giles_va,10.0,0.182,0.07,0.111
gillespie_tx,7.0,0.213,0.065,0.148
gilliam_or,4.0,0.195,0.042,0.152
gilmer_ga,5.0,0.359,0.097,0.263
gilmer_wv,12.0,0.204,0.083,0.122
gilpin_co,3.0,0.104,0.033,0.072
glacier_mt,4.0,0.183,0.072,0.111
glades_fl,5.0,0.186,0.069,0.117
gladwin_mi,7.0,0.324,0.059,0.266
glascock_ga,4.0,0.291,0.077,0.214
glasscock_tx,3.0,0.221,0.062,0.159
glenn_ca,7.0,0.229,0.048,0.181
gloucester_nj,29.0,0.19,0.04,0.149
gloucester_va,6.0,0.144,0.046,0.098
glynn_ga,9.0,0.271,0.061,0.21
gogebic_mi,7.0,0.224,0.036,0.189
golden valley_mt,3.0,0.162,0.063,0.1
golden valley_nd,4.0,0.391,0.057,0.334
goliad_tx,6.0,0.267,0.083,0.184
gonzales_tx,12.0,0.244,0.082,0.162
goochland_va,15.0,0.092,0.034,0.058
goodhue_mn,16.0,0.232,0.056,0.175
gooding_id,6.0,0.426,0.076,0.35
gordon_ga,8.0,0.346,0.155,0.191
goshen_wy,10.0,0.406,0.083,0.323
gosper_ne,8.0,0.295,0.059,0.236
gove_ks,9.0,0.351,0.064,0.287
grady_ga,6.0,0.364,0.072,0.292
grady_ok,14.0,0.373,0.093,0.28
grafton_nh,36.0,0.131,0.04,0.091
graham_az,11.0,0.189,0.063,0.126
graham_ks,11.0,0.267,0.06,0.207
graham_nc,3.0,0.24,0.096,0.144
grainger_tn,7.0,0.458,0.162,0.296
grand_co,9.0,0.092,0.028,0.064
grand_ut,4.0,0.229,0.065,0.164
grand forks_nd,22.0,0.194,0.03,0.163
grand isle_vt,5.0,0.104,0.018,0.086
grand traverse_mi,11.0,0.234,0.046,0.188
granite_mt,5.0,0.228,0.077,0.151
grant_ar,12.0,0.233,0.062,0.172
grant_in,14.0,0.345,0.113,0.232
grant_ks,2.0,0.458,0.103,0.356
grant_ky,7.0,0.35,0.058,0.292
grant_mn,9.0,0.217,0.038,0.18
grant_nd,12.0,0.321,0.073,0.249
grant_ne,3.0,0.291,0.086,0.205
grant_nm,17.0,0.081,0.035,0.046
grant_ok,8.0,0.409,0.076,0.332
grant_or,12.0,0.311,0.04,0.271
grant_sd,12.0,0.252,0.065,0.187
grant_wa,19.0,0.219,0.059,0.16
grant_wi,23.0,0.281,0.091,0.191
grant_wv,11.0,0.298,0.098,0.2
grant parish_la,8.0,0.387,0.12,0.268
granville_nc,11.0,0.129,0.047,0.082
gratiot_mi,20.0,0.324,0.081,0.243
graves_ky,17.0,0.334,0.08,0.254
gray_ks,7.0,0.384,0.062,0.322
gray_tx,5.0,0.344,0.141,0.203
grays harbor_wa,20.0,0.209,0.092,0.117
grayson_ky,9.0,0.25,0.081,0.169
grayson_tx,19.0,0.284,0.092,0.192
grayson_va,8.0,0.219,0.061,0.158
greeley_ks,1.0,0.339,0.046,0.293
greeley_ne,4.0,0.273,0.074,0.199
green_ky,8.0,0.311,0.094,0.217
green_wi,12.0,0.129,0.03,0.1
green lake_wi,12.0,0.272,0.06,0.213
greenbrier_wv,21.0,0.209,0.084,0.125
greene_al,8.0,0.15,0.071,0.079
greene_ar,8.0,0.265,0.126,0.139
greene_ga,6.0,0.156,0.056,0.1
greene_ia,12.0,0.187,0.041,0.146
greene_il,11.0,0.21,0.04,0.171
greene_in,16.0,0.323,0.095,0.228
greene_mo,20.0,0.24,0.083,0.158
greene_ms,6.0,0.293,0.083,0.21
greene_nc,10.0,0.204,0.063,0.141
greene_ny,42.0,0.156,0.03,0.126
greene_oh,24.0,0.203,0.051,0.152
greene_pa,26.0,0.27,0.071,0.199
greene_tn,10.0,0.268,0.107,0.16
greene_va,5.0,0.111,0.022,0.088
greenlee_az,4.0,0.2,0.077,0.123
greensville_va,4.0,0.205,0.059,0.146
greenup_ky,11.0,0.203,0.083,0.119
greenville_sc,26.0,0.263,0.085,0.178
greenwood_ks,10.0,0.259,0.063,0.196
greenwood_sc,9.0,0.238,0.093,0.146
greer_ok,5.0,0.369,0.136,0.233
gregg_tx,10.0,0.319,0.108,0.211
gregory_sd,8.0,0.296,0.065,0.231
grenada_ms,7.0,0.263,0.091,0.172
griggs_nd,10.0,0.175,0.045,0.13
grimes_tx,9.0,0.234,0.047,0.187
grundy_ia,16.0,0.162,0.048,0.114
grundy_il,16.0,0.244,0.09,0.154
grundy_mo,7.0,0.436,0.067,0.369
grundy_tn,11.0,0.412,0.161,0.251
guadalupe_nm,7.0,0.198,0.108,0.09
guadalupe_tx,13.0,0.241,0.079,0.162
guernsey_oh,20.0,0.305,0.103,0.202
guilford_nc,31.0,0.194,0.056,0.137
gulf_fl,2.0,0.267,0.068,0.199
gunnison_co,13.0,0.138,0.032,0.106
guthrie_ia,13.0,0.23,0.049,0.181
gwinnett_ga,26.0,0.151,0.059,0.092
haakon_sd,4.0,0.391,0.109,0.281
habersham_ga,8.0,0.29,0.102,0.188
haines borough_ak,1.0,0.174,0.05,0.125
hale_al,7.0,0.347,0.124,0.223
hale_tx,8.0,0.291,0.07,0.221
halifax_nc,9.0,0.201,0.079,0.122
halifax_va,14.0,0.185,0.06,0.125
hall_ga,19.0,0.3,0.108,0.193
hall_ne,8.0,0.271,0.078,0.193
hall_tx,6.0,0.299,0.056,0.244
hamblen_tn,7.0,0.357,0.113,0.245
hamilton_fl,3.0,0.176,0.064,0.112
hamilton_ia,13.0,0.172,0.053,0.119
hamilton_il,12.0,0.213,0.054,0.159
hamilton_in,20.0,0.101,0.027,0.074
hamilton_ks,3.0,0.282,0.068,0.214
hamilton_ne,12.0,0.245,0.081,0.164
hamilton_ny,13.0,0.177,0.029,0.149
hamilton_oh,57.0,0.149,0.071,0.078
hamilton_tn,30.0,0.205,0.067,0.139
hamilton_tx,9.0,0.327,0.075,0.251
hamlin_sd,10.0,0.241,0.065,0.176
hampden_ma,41.0,0.126,0.043,0.083
hampshire_ma,27.0,0.057,0.032,0.026
hampshire_wv,20.0,0.317,0.15,0.167
hampton_sc,12.0,0.25,0.089,0.16
hampton city_va,8.0,0.139,0.041,0.097
hancock_ga,4.0,0.198,0.105,0.093
hancock_ia,13.0,0.216,0.046,0.17
hancock_il,20.0,0.288,0.042,0.246
hancock_in,14.0,0.17,0.053,0.117
hancock_ky,5.0,0.298,0.098,0.2
hancock_me,43.0,0.105,0.025,0.08
hancock_ms,10.0,0.281,0.088,0.193
hancock_oh,23.0,0.292,0.077,0.215
hancock_tn,6.0,0.328,0.098,0.23
hancock_wv,5.0,0.182,0.074,0.108
hand_sd,8.0,0.161,0.04,0.121
hanover_va,12.0,0.128,0.027,0.101
hansford_tx,3.0,0.394,0.06,0.334
hanson_sd,7.0,0.173,0.046,0.127
haralson_ga,6.0,0.343,0.149,0.193
hardee_fl,5.0,0.249,0.069,0.18
hardeman_tn,12.0,0.317,0.093,0.224
hardeman_tx,2.0,0.151,0.039,0.111
hardin_ia,11.0,0.203,0.041,0.162
hardin_il,5.0,0.192,0.051,0.142
hardin_ky,15.0,0.224,0.078,0.146
hardin_oh,15.0,0.357,0.06,0.297
hardin_tn,13.0,0.372,0.088,0.284
hardin_tx,11.0,0.345,0.089,0.256
harding_nm,7.0,0.221,0.057,0.163
harding_sd,12.0,0.377,0.106,0.271
hardy_wv,9.0,0.25,0.083,0.168
harford_md,24.0,0.148,0.036,0.111
harlan_ky,28.0,0.328,0.074,0.254
harlan_ne,8.0,0.203,0.058,0.145
harmon_ok,6.0,0.236,0.091,0.145
harnett_nc,16.0,0.188,0.074,0.114
harney_or,10.0,0.28,0.043,0.238
harper_ks,10.0,0.335,0.063,0.272
harper_ok,7.0,0.403,0.099,0.303
harris_ga,12.0,0.208,0.075,0.133
harris_tx,141.0,0.162,0.063,0.1
harrison_ia,15.0,0.255,0.072,0.183
