index,socio_std,hh_std,minority_std,housing_std,overall_std,null_pct,uninsured_pct,socio_wgt,hh_wgt,minority_wgt,housing_wgt,overall_wgt,count
cumberland_il,0.1465415640697205,0.050807578174914,0.08638871454073153,0.20321210593859806,0.1614528104431756,0.0,0.04693971468016567,0.4907870777726645,0.7645739070409572,0.06204552231937414,0.547857386102163,0.4577069489185458,3
cumberland_ky,0.12438008281071368,0.3036316518415035,0.061094025894517706,0.27393316703166853,0.25823539648932714,0.0,0.10487114553850738,0.7769291821838225,0.6593870996573812,0.06227323104424251,0.7095792790108745,0.6378965738120066,2
cumberland_me,0.19207762800359438,0.21044829037258989,0.2174733670803793,0.2866712435261023,0.2196519085350203,0.0,0.06256874175098988,0.2450485313324901,0.3500759713209415,0.20406326131489222,0.4536158865623625,0.2581417478965024,66
cumberland_nc,0.1727216701941673,0.23693576041512196,0.1284195078252497,0.25669009254085157,0.20218318011994146,0.058823529411764705,0.09460248218235438,0.6454786434013271,0.6980091837675104,0.6176444528753994,0.5656896239862373,0.6722256088719587,64
cumberland_nj,0.1965764528827321,0.19851384632512586,0.2493025318074235,0.23774849524076344,0.2078047732487063,0.08823529411764706,0.101799574146576,0.6953832749502026,0.7151834707054056,0.6848699883233739,0.6110473322343567,0.7334164935778557,31
cumberland_pa,0.2322487315217022,0.24291083929423818,0.1514337754632824,0.31284508129293703,0.2360568683642786,0.02040816326530612,0.056949057897524545,0.2807816083694996,0.40520787925321594,0.33247930248695345,0.43131565011024386,0.314573704891378,48
cumberland_tn,0.18733711694326724,0.16749597223302332,0.15549675326104168,0.27743613986518895,0.24580093527124702,0.0,0.09593409966913395,0.6242200941433298,0.7872335010403521,0.15201108742367908,0.45164447419585907,0.5244914196541256,14
cumberland_va,0.034860364312496804,0.03500178566873417,0.09425733393216676,0.09340880579474292,0.06173042199758555,0.0,0.13774780298385447,0.7475462497445331,0.80293145309626,0.3511110566114858,0.5851772736562436,0.6980827099938689,2
cuming_ne,0.20087967376848592,0.08279039799397031,0.17296523735517877,0.26180271834595864,0.22488417759667606,0.0,0.0747414080747414,0.38344086308530756,0.6502725058391725,0.3183502168835502,0.5155547992436882,0.44078447336225113,3
currituck_nc,0.15316370171750723,0.22213780900710303,0.10425275376059218,0.2427947898946763,0.1858934359352409,0.125,0.13428438517599628,0.45332500387657,0.5929794386726625,0.1759066095518685,0.32604437897348426,0.34941053264071953,7
curry_nm,0.27364314006760815,0.24953624926444995,0.21881790876655802,0.26252675650071916,0.2761662142239486,0.0,0.11599832665989362,0.6322946034781569,0.7102396521843064,0.6691028526464671,0.5215561943465009,0.6567690073507441,12
curry_or,0.14965459565278974,0.16262520407366138,0.13977979110014438,0.2002818638818802,0.13721536721519206,0.0,0.06589061180965922,0.5902557559870263,0.662643888568001,0.246269938241436,0.7069530812636069,0.5996088461367575,5
custer_co,,,,,,0.0,0.1543103448275862,0.5571,0.5615,0.3647,0.5119,0.5226,1
custer_id,,,,,,0.0,0.11712146824438542,0.618,0.7302,0.297,0.5788,0.5975,1
custer_mt,0.1650167829848427,0.31971267986532326,0.12818899718774618,0.3956360381293224,0.25059748602090964,0.0,0.06517517940059096,0.2936472773322077,0.6593898353735753,0.1389982439848037,0.5628005994090333,0.3928937273111017,6
custer_ne,0.09613395168548242,0.2238683020587476,0.10297152923664547,0.29706050309659143,0.23358345225350763,0.0,0.09316712834718374,0.31659085872576176,0.7592043305632501,0.20657060941828254,0.5416894459833794,0.42673372114496766,4
custer_ok,0.2183821489957455,0.39332425173131647,0.22336169546276283,0.2180576827355551,0.2492389977511545,0.0,0.14759149577185116,0.5223024410284501,0.5735935978636721,0.5461425656475744,0.7698106508267999,0.6607212605703722,5
custer_sd,0.047871129086329296,0.021496046148071032,0.036062445840513956,0.12621856044179872,0.013859292911256337,0.0,0.10183133092266418,0.35423344220226294,0.4961463315058906,0.2991014114079086,0.7167450600723202,0.4627174967922548,2
cuyahoga_oh,0.33178273595489516,0.30017819248676214,0.20317738604026603,0.2769410713813764,0.31542905208117156,0.006726457399103139,0.058987879082743985,0.5131986744915189,0.5504587277064692,0.4807590475385294,0.38944105527032985,0.4762186576145952,443
dade_ga,0.062077659696007675,0.3400206023169773,0.022767282812550707,0.1089317026091731,0.12650139656673096,0.0,0.12214210883096074,0.6374011154249091,0.4946632772539595,0.15237895482837246,0.7700885869230296,0.5773828988722499,4
dade_mo,0.03436538956566619,0.15400785694243005,0.002687005768508879,0.09828784258493012,0.09220672426672577,0.0,0.12766798418972333,0.7900456916996048,0.8005121739130435,0.14650548089591567,0.7653310935441371,0.7260382345191041,2
daggett_ut,,,,,,0.0,0.02287581699346405,0.1539,0.0911,0.2408,0.7276,0.2293,1
dakota_mn,0.1784108458757253,0.23683208740789302,0.20008626866752882,0.2717998652218254,0.22760205005010406,0.0,0.03749393234353816,0.20226880112673093,0.3647034081697557,0.41781291436414547,0.38244510175728896,0.2759858261936246,95
dakota_ne,0.20062393509582385,0.27427238741805565,0.15660886522373713,0.17652403755107504,0.16668073273977008,0.0,0.14052271496776098,0.6837211054781711,0.5940432101196043,0.784700162425555,0.817439902544667,0.7910956095880297,4
dale_al,0.16631825113119925,0.2671729484727157,0.20068927269743186,0.21779971657112307,0.20477072906916283,0.0,0.10707542381484113,0.6958225479646736,0.6949489006192264,0.3520215856258248,0.44537485128413357,0.5958655689777688,14
dallam_tx,0.1866054795551299,0.0030405591591022123,0.2081722363813196,0.0917824601980139,0.1736654254594161,0.0,0.24796355101477288,0.6302443600717935,0.6098365318238299,0.8183290625431451,0.6420539141239818,0.7271935385889825,2
dallas_al,0.18387060849049983,0.16279970983945125,0.10385650723588817,0.27342240859850814,0.2083317254033188,0.0,0.11903869694471508,0.8311704888955507,0.7979572434984636,0.44359248794623896,0.6117714981638313,0.7667869069924305,15
dallas_ar,0.10672258430154322,0.20378932749287923,0.2753446991197276,0.2301443315255306,0.17210631404260954,0.0,0.07252421959095802,0.6613538347685683,0.8887285791173305,0.3834846474703983,0.6904349569429494,0.7413782561894511,3
dallas_ia,0.2327579282062313,0.27287632956725144,0.2413417401192954,0.326719700311182,0.29170001420245817,0.0,0.02993976333896812,0.13829542153758242,0.29248405514154424,0.29445771767338874,0.4135846956024857,0.20274459417632912,15
