County_State,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122
lake_mi,1676.0,14.1,13.0,0.0,6079.0,51.3,16.0,0.0,7653.0,64.6,16.0,43.1
kent_mi,99491.0,15.1,5.0,0.0,0.0,0.0,8.0,0.0,400059.0,60.9,8.0,52.8
nye_nv,6092.0,13.1,9.0,0.0,19910.0,42.8,10.0,0.0,24864.0,53.4,11.0,42.7
lincoln_or,8088.0,16.2,9.0,0.0,32873.0,65.8,12.0,0.0,38832.0,77.7,12.0,58.0
berkeley_sc,19985.0,8.8,9.0,0.0,98291.0,43.1,10.0,0.0,140876.0,61.8,12.0,32.0
lubbock_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171995.0,55.4,11.0,35.0
sumter_fl,40569.0,30.6,1.0,0.0,105754.0,79.9,4.0,0.0,118589.0,89.6,4.0,54.8
boone_ia,5073.0,19.3,1.0,0.0,15474.0,59.0,4.0,0.0,18015.0,68.7,4.0,52.9
dade_ga,604.0,3.7,9.0,0.0,3485.0,21.6,9.0,0.0,8969.0,55.7,11.0,31.0
chase_ks,566.0,21.4,5.0,0.0,1071.0,40.4,6.0,0.0,1341.0,50.6,7.0,50.8
gosper_ne,60.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,59.7
reeves_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19437.0,95.0,16.0,26.6
runnels_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5054.0,49.2,11.0,36.2
amite_ms,1281.0,10.4,13.0,0.0,4413.0,35.9,13.0,0.0,5554.0,45.2,14.0,37.4
aleutians west census area_ak,922.0,16.4,5.0,0.0,3594.0,63.8,8.0,0.0,4113.0,73.0,8.0,30.0
rowan_nc,19601.0,13.8,13.0,0.0,57597.0,40.5,14.0,0.0,81537.0,57.4,15.0,22.8
halifax_nc,8758.0,17.5,13.0,0.0,24658.0,49.3,15.0,0.0,33133.0,66.3,16.0,36.0
sauk_wi,12808.0,19.9,1.0,0.0,37438.0,58.1,4.0,0.0,43553.0,67.6,4.0,57.5
unknown_nc,59041.0,0.0,0.0,0.0,226567.0,0.0,0.0,0.0,288168.0,0.0,0.0,57.7
green_ky,1211.0,11.1,9.0,0.0,4211.0,38.5,10.0,0.0,5170.0,47.3,11.0,41.2
wyoming_wv,4937.0,24.2,9.0,0.0,8463.0,41.5,10.0,0.0,11867.0,58.2,12.0,36.9
pitt_nc,29898.0,16.5,13.0,0.0,88348.0,48.9,15.0,0.0,130085.0,72.0,16.0,20.4
pendleton_ky,1805.0,12.4,5.0,0.0,5983.0,41.0,6.0,0.0,6946.0,47.6,7.0,45.7
swift_mn,2025.0,21.9,5.0,0.0,4861.0,52.5,7.0,0.0,5649.0,61.0,8.0,56.3
juneau city and borough_ak,7771.0,24.3,5.0,0.0,22032.0,68.9,8.0,0.0,26362.0,82.4,8.0,52.6
hillsborough_fl,162378.0,11.0,9.0,0.0,869874.0,59.1,11.0,0.0,1081424.0,73.5,12.0,36.0
dekalb_in,6060.0,13.9,1.0,0.0,17094.0,39.3,2.0,0.0,19989.0,46.0,3.0,44.0
wayne_ne,302.0,3.2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,57.2
clinton_il,7278.0,19.4,1.0,0.0,19671.0,52.4,3.0,0.0,24376.0,64.9,4.0,44.6
waldo_me,6415.0,16.2,1.0,0.0,25856.0,65.1,4.0,0.0,31454.0,79.2,4.0,55.6
talbot_md,8030.0,21.6,1.0,0.0,25946.0,69.8,4.0,0.0,30234.0,81.3,4.0,57.2
comal_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110999.0,71.1,4.0,37.9
thomas_ks,1299.0,16.7,1.0,0.0,2994.0,38.5,2.0,0.0,3583.0,46.1,3.0,46.0
dinwiddie_va,1315.0,4.6,5.0,0.0,7417.0,26.0,5.0,0.0,15448.0,54.1,7.0,26.8
burke_ga,2338.0,10.4,13.0,0.0,9416.0,42.1,14.0,0.0,14893.0,66.5,16.0,30.6
beadle_sd,322.0,1.7,9.0,0.0,0.0,0.0,10.0,0.0,11595.0,62.8,11.0,44.9
queen anne's_md,8331.0,16.5,1.0,0.0,31031.0,61.6,4.0,0.0,36760.0,73.0,4.0,51.1
kern_ca,89380.0,9.9,13.0,0.0,419833.0,46.6,14.0,0.0,534829.0,59.4,16.0,38.7
st. francis_ar,2556.0,10.2,13.0,0.0,11737.0,47.0,14.0,0.0,14576.0,58.3,15.0,32.4
kalawao_hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fremont_co,350.0,0.7,9.0,0.0,19133.0,40.0,10.0,0.0,23514.0,49.2,11.0,45.5
shawnee_ks,31389.0,17.7,9.0,0.0,99680.0,56.4,12.0,0.0,123052.0,69.6,12.0,49.0
marion_ms,2730.0,11.1,13.0,0.0,10026.0,40.8,14.0,0.0,12704.0,51.7,15.0,34.9
tucker_wv,1142.0,16.7,5.0,0.0,2244.0,32.8,5.0,0.0,4468.0,65.3,8.0,48.0
otero_co,96.0,0.5,13.0,0.0,7684.0,42.0,14.0,0.0,9555.0,52.3,15.0,48.9
clinton_pa,5070.0,13.1,5.0,0.0,16298.0,42.2,6.0,0.0,18820.0,48.7,7.0,50.4
rockingham_va,3132.0,3.8,5.0,0.0,11115.0,13.6,5.0,0.0,38935.0,47.5,7.0,20.7
madison_ny,9869.0,13.9,1.0,0.0,39740.0,56.0,4.0,0.0,45942.0,64.8,4.0,54.5
jefferson_co,4861.0,0.8,1.0,0.0,415353.0,71.3,4.0,0.0,486773.0,83.5,4.0,54.9
gunnison_co,0.0,0.0,0.0,0.0,11306.0,64.7,4.0,0.0,13284.0,76.1,4.0,53.6
poweshiek_ia,3182.0,17.2,1.0,0.0,10008.0,54.1,4.0,0.0,11969.0,64.7,4.0,56.3
washington_co,0.0,0.0,0.0,0.0,1342.0,27.3,5.0,0.0,1663.0,33.9,6.0,45.4
