county_state,state,candidate_won,party,winner_votes,total_votes,pct_trump,pct_biden
sweetwater_wy,WY,Donald Trump,REP,12229,16603,0.737,0.263
uinta_wy,WY,Donald Trump,REP,7496,9402,0.797,0.203
washakie_wy,WY,Donald Trump,REP,3245,4012,0.809,0.191
weston_wy,WY,Donald Trump,REP,3107,3542,0.877,0.123
cherokee_al,AL,Donald Trump,REP,10583,12301,0.86,0.14
chilton_al,AL,Donald Trump,REP,16085,19310,0.833,0.167
choctaw_al,AL,Donald Trump,REP,4296,7464,0.576,0.424
clarke_al,AL,Donald Trump,REP,7324,13135,0.558,0.442
clay_al,AL,Donald Trump,REP,5601,6930,0.808,0.192
cleburne_al,AL,Donald Trump,REP,6484,7227,0.897,0.103
coffee_al,AL,Donald Trump,REP,16899,22275,0.759,0.241
colbert_al,AL,Donald Trump,REP,19203,27886,0.689,0.311
conecuh_al,AL,Donald Trump,REP,3442,6441,0.534,0.466
coosa_al,AL,Donald Trump,REP,3631,5479,0.663,0.337
autauga_al,AL,Donald Trump,REP,19838,27770,0.714,0.286
covington_al,AL,Donald Trump,REP,14586,17430,0.837,0.163
crenshaw_al,AL,Donald Trump,REP,4864,6617,0.735,0.265
cullman_al,AL,Donald Trump,REP,36880,41851,0.881,0.119
dale_al,AL,Donald Trump,REP,14303,19738,0.725,0.275
dekalb_al,AL,Donald Trump,REP,24767,29356,0.844,0.156
elmore_al,AL,Donald Trump,REP,30164,41030,0.735,0.265
escambia_al,AL,Donald Trump,REP,10869,15910,0.683,0.317
etowah_al,AL,Donald Trump,REP,35528,47728,0.744,0.256
fayette_al,AL,Donald Trump,REP,7300,8766,0.833,0.167
baldwin_al,AL,Donald Trump,REP,83544,109679,0.762,0.238
franklin_al,AL,Donald Trump,REP,10376,12578,0.825,0.175
geneva_al,AL,Donald Trump,REP,10848,12545,0.865,0.135
henry_al,AL,Donald Trump,REP,6607,9298,0.711,0.289
houston_al,AL,Donald Trump,REP,32618,46173,0.706,0.294
jackson_al,AL,Donald Trump,REP,19670,23636,0.832,0.168
lamar_al,AL,Donald Trump,REP,6174,7193,0.858,0.142
lauderdale_al,AL,Donald Trump,REP,31721,44339,0.715,0.285
barbour_al,AL,Donald Trump,REP,5622,10518,0.535,0.465
lawrence_al,AL,Donald Trump,REP,12322,16031,0.769,0.231
lee_al,AL,Donald Trump,REP,42221,71449,0.591,0.409
limestone_al,AL,Donald Trump,REP,34640,49235,0.704,0.296
madison_al,AL,Donald Trump,REP,102780,194767,0.528,0.472
marion_al,AL,Donald Trump,REP,12205,13807,0.884,0.116
marshall_al,AL,Donald Trump,REP,33191,39655,0.837,0.163
mobile_al,AL,Donald Trump,REP,101243,183164,0.553,0.447
bibb_al,AL,Donald Trump,REP,7525,9595,0.784,0.216
monroe_al,AL,Donald Trump,REP,6147,10668,0.576,0.424
morgan_al,AL,Donald Trump,REP,39664,53722,0.738,0.262
pickens_al,AL,Donald Trump,REP,5594,9668,0.579,0.421
pike_al,AL,Donald Trump,REP,8042,13841,0.581,0.419
randolph_al,AL,Donald Trump,REP,8559,10837,0.79,0.21
st. clair_al,AL,Donald Trump,REP,36166,44441,0.814,0.186
shelby_al,AL,Donald Trump,REP,79700,114950,0.693,0.307
blount_al,AL,Donald Trump,REP,24711,27588,0.896,0.104
talladega_al,AL,Donald Trump,REP,22235,35663,0.623,0.377
tallapoosa_al,AL,Donald Trump,REP,14963,20991,0.713,0.287
tuscaloosa_al,AL,Donald Trump,REP,51117,90172,0.567,0.433
walker_al,AL,Donald Trump,REP,26002,31170,0.834,0.166
washington_al,AL,Donald Trump,REP,6564,8876,0.74,0.26
winston_al,AL,Donald Trump,REP,10195,11284,0.903,0.097
butler_al,AL,Donald Trump,REP,5458,9488,0.575,0.425
calhoun_al,AL,Donald Trump,REP,35101,50983,0.688,0.312
chambers_al,AL,Donald Trump,REP,8753,15284,0.573,0.427
clark_ar,AR,Donald Trump,REP,4616,8395,0.55,0.45
clay_ar,AR,Donald Trump,REP,4086,5183,0.788,0.212
cleburne_ar,AR,Donald Trump,REP,10328,12680,0.815,0.185
cleveland_ar,AR,Donald Trump,REP,2867,3600,0.796,0.204
columbia_ar,AR,Donald Trump,REP,5500,8616,0.638,0.362
conway_ar,AR,Donald Trump,REP,5694,8685,0.656,0.344
craighead_ar,AR,Donald Trump,REP,25558,38511,0.664,0.336
crawford_ar,AR,Donald Trump,REP,18607,24091,0.772,0.228
cross_ar,AR,Donald Trump,REP,4946,6942,0.712,0.288
arkansas_ar,AR,Donald Trump,REP,4304,6292,0.684,0.316
dallas_ar,AR,Donald Trump,REP,1573,2649,0.594,0.406
drew_ar,AR,Donald Trump,REP,4349,6908,0.63,0.37
faulkner_ar,AR,Donald Trump,REP,34421,54428,0.632,0.368
franklin_ar,AR,Donald Trump,REP,5677,7129,0.796,0.204
fulton_ar,AR,Donald Trump,REP,3961,5119,0.774,0.226
garland_ar,AR,Donald Trump,REP,29069,44199,0.658,0.342
grant_ar,AR,Donald Trump,REP,6794,8200,0.829,0.171
greene_ar,AR,Donald Trump,REP,12670,16100,0.787,0.213
hempstead_ar,AR,Donald Trump,REP,4470,6848,0.653,0.347
ashley_ar,AR,Donald Trump,REP,5548,7926,0.7,0.3
hot spring_ar,AR,Donald Trump,REP,9202,12557,0.733,0.267
howard_ar,AR,Donald Trump,REP,3367,4834,0.697,0.303
independence_ar,AR,Donald Trump,REP,11250,14512,0.775,0.225
izard_ar,AR,Donald Trump,REP,4631,5810,0.797,0.203
jackson_ar,AR,Donald Trump,REP,3593,5091,0.706,0.294
johnson_ar,AR,Donald Trump,REP,6938,9498,0.73,0.27
lafayette_ar,AR,Donald Trump,REP,1757,2679,0.656,0.344
lawrence_ar,AR,Donald Trump,REP,4569,5857,0.78,0.22
baxter_ar,AR,Donald Trump,REP,15836,21007,0.754,0.246
lincoln_ar,AR,Donald Trump,REP,2729,3875,0.704,0.296
little river_ar,AR,Donald Trump,REP,3715,5177,0.718,0.282
logan_ar,AR,Donald Trump,REP,6441,8225,0.783,0.217
lonoke_ar,AR,Donald Trump,REP,22884,30662,0.746,0.254
madison_ar,AR,Donald Trump,REP,5658,7351,0.77,0.23
marion_ar,AR,Donald Trump,REP,5783,7503,0.771,0.229
miller_ar,AR,Donald Trump,REP,11920,16529,0.721,0.279
mississippi_ar,AR,Donald Trump,REP,7296,12342,0.591,0.409
monroe_ar,AR,Donald Trump,REP,1545,2816,0.549,0.451
montgomery_ar,AR,Donald Trump,REP,3046,3873,0.786,0.214
benton_ar,AR,Donald Trump,REP,73965,119912,0.617,0.383
nevada_ar,AR,Donald Trump,REP,2133,3358,0.635,0.365
newton_ar,AR,Donald Trump,REP,3192,3998,0.798,0.202
ouachita_ar,AR,Donald Trump,REP,5294,9629,0.55,0.45
perry_ar,AR,Donald Trump,REP,3479,4627,0.752,0.248
pike_ar,AR,Donald Trump,REP,3519,4246,0.829,0.171
poinsett_ar,AR,Donald Trump,REP,5918,7521,0.787,0.213
polk_ar,AR,Donald Trump,REP,7035,8490,0.829,0.171
pope_ar,AR,Donald Trump,REP,18081,24432,0.74,0.26
prairie_ar,AR,Donald Trump,REP,2786,3495,0.797,0.203
boone_ar,AR,Donald Trump,REP,13652,17114,0.798,0.202
randolph_ar,AR,Donald Trump,REP,5355,6812,0.786,0.214
saline_ar,AR,Donald Trump,REP,39556,56959,0.694,0.306
scott_ar,AR,Donald Trump,REP,2962,3551,0.834,0.166
searcy_ar,AR,Donald Trump,REP,3365,4019,0.837,0.163
sebastian_ar,AR,Donald Trump,REP,31198,47140,0.662,0.338
sevier_ar,AR,Donald Trump,REP,3884,5202,0.747,0.253
sharp_ar,AR,Donald Trump,REP,5938,7566,0.785,0.215
stone_ar,AR,Donald Trump,REP,4616,5938,0.777,0.223
bradley_ar,AR,Donald Trump,REP,2335,3654,0.639,0.361
union_ar,AR,Donald Trump,REP,10478,16607,0.631,0.369
van buren_ar,AR,Donald Trump,REP,6034,7807,0.773,0.227
washington_ar,AR,Donald Trump,REP,47504,94266,0.504,0.496
white_ar,AR,Donald Trump,REP,24182,30885,0.783,0.217
woodruff_ar,AR,Donald Trump,REP,1543,2476,0.623,0.377
yell_ar,AR,Donald Trump,REP,5226,6741,0.775,0.225
calhoun_ar,AR,Donald Trump,REP,1636,2182,0.75,0.25
carroll_ar,AR,Donald Trump,REP,7424,11797,0.629,0.371
glenn_ca,CA,Donald Trump,REP,7063,11292,0.625,0.375
kern_ca,CA,Donald Trump,REP,164484,305226,0.539,0.461
kings_ca,CA,Donald Trump,REP,24072,43858,0.549,0.451
lassen_ca,CA,Donald Trump,REP,8970,11985,0.748,0.252
madera_ca,CA,Donald Trump,REP,29378,53722,0.547,0.453
mariposa_ca,CA,Donald Trump,REP,5950,10280,0.579,0.421
modoc_ca,CA,Donald Trump,REP,3109,4338,0.717,0.283
placer_ca,CA,Donald Trump,REP,122488,235017,0.521,0.479
plumas_ca,CA,Donald Trump,REP,6445,11256,0.573,0.427
amador_ca,CA,Donald Trump,REP,13585,22302,0.609,0.391
shasta_ca,CA,Donald Trump,REP,60789,92900,0.654,0.346
sierra_ca,CA,Donald Trump,REP,1142,1930,0.592,0.408
siskiyou_ca,CA,Donald Trump,REP,13290,23450,0.567,0.433
sutter_ca,CA,Donald Trump,REP,24375,42640,0.572,0.428
tehama_ca,CA,Donald Trump,REP,19141,28721,0.666,0.334
trinity_ca,CA,Donald Trump,REP,3188,6258,0.509,0.491
tulare_ca,CA,Donald Trump,REP,77579,146832,0.528,0.472
tuolumne_ca,CA,Donald Trump,REP,17689,30401,0.582,0.418
yuba_ca,CA,Donald Trump,REP,17676,29787,0.593,0.407
calaveras_ca,CA,Donald Trump,REP,16518,27164,0.608,0.392
colusa_ca,CA,Donald Trump,REP,4554,7951,0.573,0.427
del norte_ca,CA,Donald Trump,REP,6461,11452,0.564,0.436
el dorado_ca,CA,Donald Trump,REP,61838,116138,0.532,0.468
conejos_co,CO,Donald Trump,REP,2286,4333,0.528,0.472
crowley_co,CO,Donald Trump,REP,1271,1750,0.726,0.274
custer_co,CO,Donald Trump,REP,2474,3634,0.681,0.319
delta_co,CO,Donald Trump,REP,13081,19370,0.675,0.325
dolores_co,CO,Donald Trump,REP,1089,1449,0.752,0.248
douglas_co,CO,Donald Trump,REP,121270,231599,0.524,0.476
elbert_co,CO,Donald Trump,REP,14027,18983,0.739,0.261
el paso_co,CO,Donald Trump,REP,202828,378849,0.535,0.465
fremont_co,CO,Donald Trump,REP,17517,25557,0.685,0.315
grand_co,CO,Donald Trump,REP,4883,9870,0.495,0.505
hinsdale_co,CO,Donald Trump,REP,353,632,0.559,0.441
huerfano_co,CO,Donald Trump,REP,2203,4406,0.5,0.5
jackson_co,CO,Donald Trump,REP,681,876,0.777,0.223
alamosa_co,CO,Donald Trump,REP,3813,7808,0.488,0.512
kiowa_co,CO,Donald Trump,REP,795,903,0.88,0.12
kit carson_co,CO,Donald Trump,REP,3144,3871,0.812,0.188
las animas_co,CO,Donald Trump,REP,4284,7961,0.538,0.462
lincoln_co,CO,Donald Trump,REP,2135,2651,0.805,0.195
logan_co,CO,Donald Trump,REP,8087,10532,0.768,0.232
mesa_co,CO,Donald Trump,REP,56894,90622,0.628,0.372
mineral_co,CO,Donald Trump,REP,427,756,0.565,0.435
moffat_co,CO,Donald Trump,REP,5670,7026,0.807,0.193
montezuma_co,CO,Donald Trump,REP,9306,15500,0.6,0.4
montrose_co,CO,Donald Trump,REP,16770,24922,0.673,0.327
morgan_co,CO,Donald Trump,REP,9593,13744,0.698,0.302
otero_co,CO,Donald Trump,REP,5756,9576,0.601,0.399
park_co,CO,Donald Trump,REP,6991,12290,0.569,0.431
phillips_co,CO,Donald Trump,REP,1958,2485,0.788,0.212
archuleta_co,CO,Donald Trump,REP,5189,9144,0.567,0.433
prowers_co,CO,Donald Trump,REP,4008,5561,0.721,0.279
rio blanco_co,CO,Donald Trump,REP,3061,3691,0.829,0.171
rio grande_co,CO,Donald Trump,REP,3660,6305,0.58,0.42
sedgwick_co,CO,Donald Trump,REP,1121,1446,0.775,0.225
baca_co,CO,Donald Trump,REP,1867,2225,0.839,0.161
teller_co,CO,Donald Trump,REP,11241,16939,0.664,0.336
washington_co,CO,Donald Trump,REP,2595,3008,0.863,0.137
weld_co,CO,Donald Trump,REP,96145,166968,0.576,0.424
yuma_co,CO,Donald Trump,REP,4107,4981,0.825,0.175
bent_co,CO,Donald Trump,REP,1503,2274,0.661,0.339
cheyenne_co,CO,Donald Trump,REP,993,1136,0.874,0.126
navajo_az,AZ,Donald Trump,REP,27657,51783,0.534,0.466
pinal_az,AZ,Donald Trump,REP,107077,185037,0.579,0.421
