,County_State,Pct_Hesitant_Feb22,Pct_Somewhat_Hesitant_Feb22,Pct_Highly_Hesitant_Feb22,Pct_Uninsured,SVI_Socio,SVI_HHDisab,SVI_Minority,SVI_HousingTransp,SVI_Overall,Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_030121,Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_090121,Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_030122,Booster_Doses_Vax_Pct_030122,SVI_Ctgy,Metro_Status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,State,Candidate_Won,Pct_Trump,Pct_Biden,Hesitant_nzip,Somewhat_Hesitant_nzip,Highly_Hesitant_nzip,Census2019_Pct_65Plus,Missing_March21,Missing_Sept21,Missing_March22,Dose1_Pop_Pct_090121_impute,Series_Complete_Pop_Pct_090121_impute,Cluster,county
1211,harrison_in,0.187,0.038,0.148,0.0706587429492345,0.5231804013900081,0.6689044520547944,0.0882569399677679,0.4694496449435938,0.4320950367647058,16.5,9.4,47.5,42.9,56.5,50.2,43.9,1.0,1.0,40515.0,7336.0,24159.0,IN,1.0,0.72,0.28,2.618,0.532,2.072,0.1810687399728495,0,0,0,47.5,42.9,1,Harrison County
1212,harrison_ky,0.353,0.072,0.28,0.0756910220698521,0.6536557692307692,0.7160442414827513,0.0814834154703235,0.5079854563959717,0.5179935558174417,14.6,8.3,44.3,39.4,55.1,49.6,44.9,3.0,0.0,18886.0,3409.0,11199.0,KY,1.0,0.715,0.285,1.412,0.288,1.12,0.1805040770941438,0,0,0,44.3,39.4,0,Harrison County
1213,harrison_mo,0.378,0.122,0.256,0.1338555061959317,0.6484788870703764,0.9127711012391864,0.2782989946223989,0.6313507131166706,0.6910048164601356,15.2,7.2,32.1,27.8,40.3,33.6,40.4,3.0,0.0,8352.0,1905.0,4425.0,MO,1.0,0.836,0.164,4.914,1.586,3.3280000000000003,0.2280890804597701,0,0,0,32.1,27.8,0,Harrison County
1214,harrison_ms,0.221,0.077,0.144,0.152449230495771,0.674127677464907,0.7014467336187189,0.4601181180350856,0.5624002211985207,0.6469039628109987,16.1,7.6,49.8,40.1,63.2,54.3,30.4,4.0,1.0,208080.0,32081.0,126493.0,MS,1.0,0.617,0.383,2.873,1.001,1.872,0.154176278354479,0,0,0,49.8,40.1,1,Harrison County
1215,harrison_oh,0.254,0.073,0.181,0.0905468086496374,0.654987842163716,0.7630121317044489,0.1337309531586855,0.689176180832299,0.6164155549748481,10.9,5.7,32.7,32.2,45.9,42.6,48.3,3.0,0.0,15040.0,3280.0,8652.0,OH,1.0,0.757,0.243,4.064,1.168,2.896,0.2180851063829787,0,0,0,32.7,32.2,0,Harrison County
1216,harrison_tx,0.293,0.104,0.189,0.1471978392977717,0.6035506804711531,0.5916556725935929,0.515479573861505,0.6027089999249756,0.6174509760672219,0.0,0.0,0.0,0.0,46.8,40.7,33.8,3.0,0.0,66553.0,11607.0,38360.0,TX,1.0,0.723,0.277,3.516,1.248,2.268,0.174402356017009,1,1,0,23.4,23.4,2,Harrison County
1217,harrison_wv,0.229,0.087,0.142,0.0667360612235922,0.5590496239499186,0.6821335850107757,0.0766241405093169,0.5123708029732147,0.4697302071574132,9.8,6.6,25.6,20.5,56.8,51.7,46.4,2.0,0.0,67256.0,13300.0,39709.0,WV,1.0,0.679,0.321,4.809,1.827,2.982,0.197751873438801,0,0,0,25.6,20.5,0,Harrison County
1218,harrisonburg city_va,0.152,0.05,0.102,0.1397051937592478,0.6163052499484931,0.2406890599539248,0.6508249779925456,0.6813923058193329,0.5804687063362739,0.5,0.3,4.8,4.2,42.6,37.9,1.9,4.0,1.0,53016.0,5176.0,39041.0,VA,0.0,0.355,0.645,0.4559999999999999,0.15,0.306,0.0976309038780745,0,0,0,4.8,4.2,2,Harrisonburg city
1219,hart_ga,0.309,0.11,0.199,0.1097108969607116,0.6825211735788693,0.8014339315672427,0.3577970465451991,0.522246342319847,0.6455916702430651,9.7,5.3,27.2,23.1,45.0,37.9,38.0,3.0,0.0,26205.0,5788.0,14995.0,GA,1.0,0.744,0.256,2.472,0.88,1.592,0.2208738790307193,0,0,0,27.2,23.1,0,Hart County
1220,hart_ky,0.385,0.08,0.305,0.0877221237987867,0.8058254737746282,0.8130313201266979,0.1460613947495571,0.6521325602619853,0.7036400654963225,9.2,4.5,32.5,27.7,39.5,35.2,42.5,4.0,0.0,19035.0,3186.0,11174.0,KY,1.0,0.758,0.242,3.85,0.8,3.05,0.1673758865248227,0,0,0,32.5,27.7,0,Hart County
1221,hartford_ct,0.102,0.019,0.083,0.0428509159187687,0.3937819748974551,0.44032580700323,0.5565943852335341,0.442241430375644,0.4277448127368032,10.9,6.2,70.4,63.7,86.7,74.8,51.2,3.0,1.0,891720.0,155502.0,549955.0,CT,0.0,0.134,0.866,6.119999999999999,1.14,4.98,0.1743843358901897,0,0,0,70.4,63.7,1,Hartford County
1222,hartley_tx,0.26,0.057,0.203,0.1234610716143575,0.4556,0.2648,0.7251,0.8222,0.6137,0.0,0.0,0.0,0.0,59.3,48.0,37.3,3.0,0.0,5576.0,861.0,3551.0,TX,1.0,0.899,0.101,0.78,0.171,0.609,0.1544117647058823,1,1,0,29.65,29.65,2,Hartley County
1223,harvey_ks,0.202,0.061,0.141,0.0870785703950224,0.392460746635798,0.7084715352336854,0.3572322876573578,0.6740647894660686,0.5365496946896252,14.9,7.1,42.6,37.2,52.5,46.0,45.9,2.0,1.0,34429.0,6822.0,19338.0,KS,1.0,0.588,0.412,2.4240000000000004,0.732,1.6919999999999995,0.1981469110343025,0,0,0,42.6,37.2,1,Harvey County
1224,haskell_ks,0.213,0.059,0.154,0.1855695576970595,0.5808,0.3411,0.7055,0.6133,0.6105,18.9,8.8,34.1,29.3,43.9,38.5,41.7,2.0,0.0,3968.0,620.0,2239.0,KS,1.0,0.798,0.202,0.639,0.177,0.4619999999999999,0.15625,0,0,0,34.1,29.3,0,Haskell County
1225,haskell_ok,0.245,0.074,0.171,0.184036523929471,0.8156475283375315,0.9214137515743074,0.4027272276448362,0.5798198520151134,0.7757692065491184,15.9,10.7,38.3,31.5,47.6,40.7,38.6,4.0,0.0,12627.0,2576.0,7097.0,OK,1.0,0.831,0.169,1.715,0.518,1.197,0.2040072859744991,0,0,0,38.3,31.5,0,Haskell County
1226,haskell_tx,0.288,0.064,0.224,0.1745567223274229,0.8595742296436564,0.8718687725942503,0.7112630401101738,0.7255234808056464,0.8773037700120503,0.0,0.0,0.0,0.0,45.5,38.2,28.8,4.0,0.0,5658.0,1266.0,3436.0,TX,1.0,0.831,0.169,2.592,0.5760000000000001,2.016,0.2237539766702014,1,1,0,22.75,22.75,2,Haskell County
1227,hawaii_hi,0.097,0.026,0.071,0.0519887887158627,0.4910221427920954,0.6142552621194184,0.7240422730170294,0.509148781228182,0.5830764016634793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,201513.0,44041.0,114271.0,HI,0.0,0.331,0.669,2.716,0.728,1.988,0.2185516567169363,1,1,1,0.0,0.0,2,Hawaii County
