county_state,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden
armstrong_tx,TX,Donald Trump,REP,1035,77,1112,0.931,0.069
atascosa_tx,TX,Donald Trump,REP,12039,6079,18118,0.664,0.336
austin_tx,TX,Donald Trump,REP,11447,3107,14554,0.787,0.213
bailey_tx,TX,Donald Trump,REP,1434,426,1860,0.771,0.229
bandera_tx,TX,Donald Trump,REP,10057,2658,12715,0.791,0.209
bastrop_tx,TX,Donald Trump,REP,20516,16149,36665,0.56,0.44
baylor_tx,TX,Donald Trump,REP,1494,208,1702,0.878,0.122
bee_tx,TX,Donald Trump,REP,6006,3414,9420,0.638,0.362
bell_tx,TX,Donald Trump,REP,67893,59482,127375,0.533,0.467
blanco_tx,TX,Donald Trump,REP,5443,1998,7441,0.731,0.269
borden_tx,TX,Donald Trump,REP,397,19,416,0.954,0.046
bosque_tx,TX,Donald Trump,REP,7469,1657,9126,0.818,0.182
bowie_tx,TX,Donald Trump,REP,27116,11145,38261,0.709,0.291
brazoria_tx,TX,Donald Trump,REP,90433,64551,154984,0.583,0.417
brazos_tx,TX,Donald Trump,REP,47530,37531,85061,0.559,0.441
brewster_tx,TX,Donald Trump,REP,2461,2361,4822,0.51,0.49
briscoe_tx,TX,Donald Trump,REP,639,86,725,0.881,0.119
brown_tx,TX,Donald Trump,REP,13698,2271,15969,0.858,0.142
burleson_tx,TX,Donald Trump,REP,6743,1866,8609,0.783,0.217
burnet_tx,TX,Donald Trump,REP,18767,5950,24717,0.759,0.241
caldwell_tx,TX,Donald Trump,REP,8031,6942,14973,0.536,0.464
calhoun_tx,TX,Donald Trump,REP,5641,2215,7856,0.718,0.282
callahan_tx,TX,Donald Trump,REP,6012,820,6832,0.88,0.12
camp_tx,TX,Donald Trump,REP,3626,1434,5060,0.717,0.283
carson_tx,TX,Donald Trump,REP,2779,343,3122,0.89,0.11
cass_tx,TX,Donald Trump,REP,11033,2894,13927,0.792,0.208
castro_tx,TX,Donald Trump,REP,1602,481,2083,0.769,0.231
chambers_tx,TX,Donald Trump,REP,17353,4299,21652,0.801,0.199
cherokee_tx,TX,Donald Trump,REP,15101,4407,19508,0.774,0.226
childress_tx,TX,Donald Trump,REP,1943,336,2279,0.853,0.147
clay_tx,TX,Donald Trump,REP,5069,672,5741,0.883,0.117
cochran_tx,TX,Donald Trump,REP,809,191,1000,0.809,0.191
coke_tx,TX,Donald Trump,REP,1586,193,1779,0.892,0.108
coleman_tx,TX,Donald Trump,REP,3641,483,4124,0.883,0.117
collin_tx,TX,Donald Trump,REP,252318,239898,492216,0.513,0.487
collingsworth_tx,TX,Donald Trump,REP,1048,170,1218,0.86,0.14
colorado_tx,TX,Donald Trump,REP,7472,2503,9975,0.749,0.251
comal_tx,TX,Donald Trump,REP,62740,26123,88863,0.706,0.294
comanche_tx,TX,Donald Trump,REP,5177,909,6086,0.851,0.149
concho_tx,TX,Donald Trump,REP,1058,210,1268,0.834,0.166
cooke_tx,TX,Donald Trump,REP,15596,3392,18988,0.821,0.179
coryell_tx,TX,Donald Trump,REP,15438,8052,23490,0.657,0.343
cottle_tx,TX,Donald Trump,REP,540,122,662,0.816,0.184
crane_tx,TX,Donald Trump,REP,1247,256,1503,0.83,0.17
